Entity,Year,UDel_temp_popweight,UDel_max,UDel_min,UDel_var,UDel_mean,UDel_mean_2,UDel_prcp_max,UDel_prcp_min,UDel_prcp_var,UDel_prcp_mean,UDel_prcp_mean_2,UDel_precip_popweight
Poland,1993,7.6300000000,16.4710694900,-1.5872241370,54.7783273700,7.7088165930,59.4258532600,9.8903221290,2.0363420780,5.3903478960,4.9112602790,24.1204775300,583.3100000000
Poland,1994,8.7900000000,21.4521573100,-2.4665184590,57.2613176200,8.8454098240,78.2412749600,8.1522128970,1.6076602630,3.9978821190,5.6361361060,31.7660302000,667.7500000000
Poland,1995,8.0700000000,20.1448531400,-4.6478779620,66.4429682400,8.1068160770,65.7204669100,9.4166380260,1.4677539200,6.1043151420,4.9528999350,24.5312177700,598.3100000000
Poland,1996,6.5500000000,17.8831092100,-5.4264474320,80.5181190100,6.6069106450,43.6512682800,10.0460799500,1.1576693260,11.4563727100,5.0161732790,25.1619943700,606.0800000000
Poland,1997,7.7400000000,18.8103881300,-4.3980059890,59.8166383700,7.8141673090,61.0612107400,19.6880697900,0.6121686020,22.9774558600,5.5421882760,30.7158508800,650.6300000000
Poland,1998,8.1400000000,17.5444254600,-2.1154727020,55.7786393300,8.2314274070,67.7563971500,8.8812659740,3.1540623620,4.6588750920,5.5673941420,30.9958775300,674.5900000000
Poland,1999,8.8400000000,20.0662152500,-1.4058235610,58.9880345100,8.8759383740,78.7822820300,12.3812587400,3.0270277690,6.1718062440,5.4896160480,30.1358843500,657.9600000000
Poland,2000,9.4200000000,17.9332219100,-1.4134533250,45.6845307600,9.4773540800,89.8202403600,15.7613263300,1.9838373540,11.6939154500,5.7786749750,33.3930844600,677.7700000000
Poland,2001,8.0500000000,19.7043418000,-3.8102152070,64.1130108700,8.1069400880,65.7224775800,14.6435286400,2.8554040110,12.9912195800,6.5053585310,42.3196896200,775.9900000000
Poland,2002,8.9500000000,19.8917597800,-5.3315556420,68.3502042200,8.9440307720,79.9956864400,8.5877048950,1.9970069940,5.0066067870,5.5675402100,30.9975039900,676.9100000000
Poland,2003,8.1600000000,19.1748932500,-4.8261145100,73.8148481700,8.0934695040,65.5042486100,9.8892713920,1.0372118560,5.3356133970,4.1218985270,16.9900474700,497.2100000000
Poland,2004,8.2100000000,18.3960263700,-4.7320092350,56.3370199800,8.0988038390,65.5906236200,7.5471715770,2.1518591140,2.7402963640,4.9633821450,24.6351623100,600.2700000000
Poland,2005,8.1700000000,19.2471582900,-3.2594571220,62.5425425400,8.0818413830,65.3161601300,8.2299140600,1.2760606350,5.7467357130,4.8731977530,23.7480563400,591.7000000000
Poland,2006,8.6000000000,22.0937450100,-7.2509837610,83.1657085900,8.4961255670,72.1841496500,14.1620502100,2.1730190350,10.7801363500,4.7765597900,22.8155234200,572.5500000000
Poland,2007,9.2100000000,18.4042089600,-0.1451818580,52.4580206400,9.1097944350,82.9883546500,10.1934906700,1.6527571510,7.6375230640,5.7896617960,33.5201837100,698.4900000000
Poland,2008,9.3400000000,18.6373679700,0.9566045620,44.8429110700,9.2487836460,85.5399989200,9.7367581120,1.9267967660,5.2031568290,5.1023571650,26.0340486400,619.1500000000
Poland,2009,8.4800000000,19.1618484700,-2.8344317890,62.5480991800,8.4348673510,71.1469872300,12.7405933100,0.7841632360,11.6217127500,5.8156716800,33.8220370900,701.6100000000
Poland,2010,7.4400000000,20.8402929600,-7.1987647500,85.7386095100,7.3859394760,54.5521019400,14.2565385600,1.3696107830,18.1642701500,6.8860822510,47.4181287600,826.2500000000
Poland,2011,,18.2551781600,-3.7184498070,60.8780612300,8.7240686690,76.1093741300,17.5363410500,0.1879881990,19.7376245200,4.7009387150,22.0988248000,
Poland,2012,,19.6600617200,-6.2520046110,73.8935371400,8.3293316690,69.3777660600,8.9832166520,1.5914531080,5.1081320140,5.0526685880,25.5294598600,
